DF Topic #,DF Topic Name,Tally,Tags
830,Non-Euclidean geometry,,
831,AM-GM inequality,,
832,Cauchy-Schwarz inequality,,
833,Generalised triangle inequality,,
834,Expected value E(X) and variance Var(X) of a discrete random variable,,
835,Expected value and variance of a binomial distribution,,
836,Expected value and variance of a discrete uniform distribution,,
837,Bernoulli distribution,,
838,Linear combinations of random variables,,
839,Coding with discrete random variables,,
840,Poisson distribution,,
841,Sum of Poisson distributed random variables,,
842,Approximations involving the Poisson distribution,,
843,Geometric distributions,,
844,Hypergeometric distributions,,
845,Negative binomial distributions,,
846,Exponential distributions,,
847,Chebyshev's inequality,,
848,Hypothesis tests for the Poisson distribution,,
849,Hypothesis tests for the geometric distribution,,
850,Central Limit Theorem for sample mean,,
851,Goodness of fit tests,,
852,Normal probability plots and Kolmogorov-Smirnov tests,,
853,Hypothesis tests with contingency tables (two-way tables),,
854,Reliability and validity tests,,
855,Probability generating functions,,
856,Moment generating functions,,
857,"Type I and II errors, Power and Size of tests",,
858,Equations of least squares regression line for linear data,,
859,Residual sum of squares (RSS or SS_res),,
860,Regression with non-linear functions,,
861,Coefficient of determination (R^2),,
862,Probability density functions and areas under their graphs,,
863,Cumulative distribution functions for continuous random variables,,
864,Mean and variance of continuous random variables,,
865,"Mode, median and percentiles of continuous random variables",,
866,Continuous uniform (rectangular) distribution,,
867,Expected value and variance of linear combinations of random variables,,
868,Central Limit Theorem for sums of identically distributed variables,,
869,General sampling distributions,,
870,Standard error,,
871,Estimators and bias,,
872,z-tests for the population mean,,
873,Confidence intervals for a population mean,,
874,z-tests for a difference of means,,
875,z-tests for a population proportion,,
876,z-tests for a difference of two proportions,,
877,F-distributions and hypothesis tests on the variance of a normal distribution,,
878,t-distribution,,
879,Analysis of variance,,
880,Effect size,,
881,Non-parametric tests,,
882,Hypothesis tests on the slope of a regression model,,
883,Momentum and impulse (no coefficient of restitution),,
884,Work and energy,,
885,Power,,
886,Hooke's Law,,
887,Energy in elastic springs and strings,,
888,Elastic collisions in 1D,,
889,Elastic collisions in 2D (oblique collisions),,
890,Horizontal circular motion,,
891,Motion of a pendulum,,
892,Vertical circular motion,,
893,Centre of mass of particles on a line or plane,,
894,Centre of mass of a lamina,,
895,Centre of mass of a framework,,
896,Lamina and frameworks in equilibrium,,
897,Using calculus to find the centre of mass,,
898,Centre of mass of 3D solids or shells,,
899,Toppling and sliding,,
900,Acceleration varying with displacement and velocity,,
901,Forces as functions of time and displacement,,
902,Simple Harmonic Motion involving springs and elastic strings,,
903,Understanding and using algorithms,,
904,Sorting algorithms,,
905,Binary search,,
906,Bin-packing algorithms,,
907,Packing problems in 2D or 3D,,
908,Knapsack problems,,
909,Order of algorithms,,
910,"Graphs, connected graphs and the degree of vertices",,
911,Complete and bipartite graphs,,
912,Chromatic number of a graph,,
913,Directed graphs (digraphs),,
914,Adjacency matrices,,
915,Walks using adjacency matrices,,
916,Weighted adjacency tables,,
917,Planar graphs and testing for planarity,,
918,Minimum spanning trees,,
919,Dijkstra's algorithm,,
920,Floyd's algorithm.,,
921,Eulerian and semi-Eulerian graphs,,
922,Hamiltonian cycles,,
923,The travelling salesman problem,,
924,Linear programming,,
925,The simplex algorithm,,
926,The Big M method,,
927,Modelling a project as a graph,,
928,"Early and late event times, critical activities, and floats",,
929,Gantt charts (cascade chart),,
930,Resource histograms and scheduling diagrams,,
931,Voronoi diagrams,,
932,Transportation problems,,
933,Allocation problems,,
934,Flows and cuts in networks,,
935,Maximising flows in networks,,
936,Flows in networks with lower capacity,,
937,Supersources and supersinks,,
938,Restricted capacity nodes,,
939,Dynamic programming,,
940,Game theory,,
941,Formulating games as LP problems,,
942,Decision trees,,
943,Utility,,
944,Transition matrices for probabilities and regular Markov chains,,
945,Bijections for infinite sets,,
