DF Topic #,DF Topic Name,Tally,Tags
380,Listing all combinations,1,GCSE Higher
381,Product rule for counting (Fundamental Counting Principle),1,GCSE Higher
382,"Non-multiplicative approaches to counting, including case analysis",,
383,Truncating a number to a given number of decimal places,,
384,Using lower and upper bounds within calculations to calculate a further lower/upper bound,1,GCSE Higher
385,Tolerance,1,GCSE Higher
386,Algebraic direct and inverse proportion,5,"KS3, Year 9, GCSE Higher"
387,Simplifying single algebraic fractions by cancelling common factors,3,GCSE Higher
388,Multiplying and dividing algebraic fractions,3,GCSE Higher
389,Adding and subtracting algebraic fractions (no factorisation of denominators required),3,GCSE Higher
390,"Adding and subtracting algebraic fractions, requiring prior factorisation of the denominators",3,GCSE Higher
391,Changing the subject of a formula where the subject appears multiple times,1,GCSE Higher
392,Rationalising the denominator where the denominator consists of a single surd term,1,GCSE Higher
393,Rationalising the denominator where the denominator consists of a surd and a second term,1,GCSE Higher
394,Fractional indices,2,"KS3, Year 9, GCSE Higher"
395,Solving equations involving negative and fractional indices and surds,1,GCSE Higher
396,Quartiles from discrete data,1,GCSE Foundation
397,Deciles and percentiles from discrete data,,
398,Cumulative frequency graphs,1,GCSE Higher
399,Box plots / box and whisker diagrams (excluding outliers),1,GCSE Higher
400,Time series and moving averages,2,"GCSE Foundation, GCSE Higher"
401,Histograms and frequency density (unequal class widths),2,GCSE Higher
402,"Understanding the shape of data, including skewness",1,GCSE Higher
403,Comparing data sets using different representations,4,"KS3, Year 7, Year 8, Year 9, GCSE Higher"
404,Cavalieri's principle,,
405,"Volume of a pyramid, cone or sphere",4,"GCSE Foundation, GCSE Higher"
406,Surface area of a cone or sphere/hemisphere,6,"GCSE Foundation, GCSE Higher"
407,Volume of more complex compound 3D shapes,1,GCSE Higher
408,Surface area of more complex compound 3D shapes,2,GCSE Foundation
409,3D coordinates,,
410,Pythagoras' theorem in 3D shapes,1,GCSE Higher
411,Trigonometry in 3D shapes (right-angled only),1,GCSE Higher
412,Exact trigonometric values,1,GCSE Higher
413,Completing the square to put an expression in the form (x+a)^2 + b,1,GCSE Higher
414,Completing the square to put an expression in the form a(x+b)^2 + c,1,GCSE Higher
415,Solving quadratic equations by using the quadratic formula,1,GCSE Higher
416,Minimum or maximum point of a quadratic graph by completing the square,1,GCSE Higher
417,Quadratic formula to solve quadratic equations,1,GCSE Higher
418,Forming quadratic or non-linear expressions or equations from a given context (excluding probability problems),1,GCSE Higher
419,Solving non-linear simultaneous equations/systems of equations by substitution,2,"KS3, Year 9, GCSE Higher"
420,Plotting simple cubic graphs,3,"GCSE Foundation, GCSE Higher"
421,Using graphs to count solutions and find approximate solutions to equations,4,"KS3, Year 9, GCSE Foundation, GCSE Higher"
422,Plotting reciprocal graphs,5,"KS3, Year 9, GCSE Foundation, GCSE Higher"
423,Plotting exponential graphs,3,"KS3, Year 9, GCSE Higher"
424,Properties of exponential graphs,1,GCSE Higher
425,Determining the values of k and a in the exponential function y = ka^x,1,GCSE Higher
426,"Recognising the shape of basic forms of cubic, reciprocal and exponential graphs based on their equations",5,"KS3, Year 9, GCSE Foundation, GCSE Higher"
427,"Recognising the shape of more complex forms of quadratic, cubic, reciprocal and exponential graphs based on their equations",4,"GCSE Foundation, GCSE Higher"
428,Choosing a model given the shape of data,,
429,Coterminal and reference angles,,
430,Using the unit circle to find trigonometric values above 90°,,
431,Plotting and recognising graphs of trigonometric functions,4,GCSE Higher
432,Function notation and calculating outputs or inputs or a function,1,GCSE Higher
433,Graph representation of functions,1,GCSE Higher
434,"Solving simple trigonometric equations, e.g. sin(x) = k, using a graph",1,GCSE Higher
435,Composite functions (excluding exponentials and modulus),1,GCSE Higher
436,Inverse functions (excluding exponentials and modulus),1,GCSE Higher
437,Domain and range of simple functions,1,GCSE Higher
438,Properties of functions,1,GCSE Higher
439,Trial and improvement to approximate a solution to an equation,1,GCSE Higher
440,General iterative processes,1,GCSE Higher
441,Fixed point iteration to approximate a solution to an equation,,
442,Circle theorems,5,GCSE Higher
443,Intersecting chord and intersecting secant theorems,1,GCSE Higher
444,Proofs of circle theorems,1,GCSE Higher
445,Equations of perpendicular lines,1,GCSE Higher
446,Graphs of circles centred at the origin,1,GCSE Higher
447,Equation of a tangent to a circle centred at the origin,1,GCSE Higher
448,Graph transformations of y = f(x+a) and y = f(x) + a,2,GCSE Higher
449,Graph transformations of y = f(-x) and y = -f(x),1,GCSE Higher
450,Graph transformations of y = f(ax) and y = af(x) (dilations),2,GCSE Higher
451,Combinations of graph transformations,1,GCSE Higher
452,Graphs of root functions,1,GCSE Higher
453,Testing conjectures and identifying counterexamples,2,"GCSE Foundation, GCSE Higher"
454,Algebraic proofs involving integers,1,GCSE Higher
455,Equating coefficients in an identity f(x) ≡ g(x),,
456,"Inequalities in two variables, including their representation on a plane.",2,GCSE Higher
457,Set builder notation,1,GCSE Higher
458,Solving quadratic inequalities,1,GCSE Higher
459,Understanding and drawing speed-time (or positive velocity-time) graphs,1,GCSE Higher
460,Estimating area under a curved graph,1,GCSE Higher
461,Estimating the gradient of a curve,1,GCSE Higher
462,Solving equations involving fractions that lead to a quadratic equation,3,GCSE Higher
463,Algebraic probability problems involving independent/dependent events,1,GCSE Higher
464,Algebraic techniques for ratio problems,1,GCSE Higher
465,Sine rule (Law of Sines),2,GCSE Higher
466,Cosine rule (Law of Cosines),1,GCSE Higher
467,Area of a triangle using two lengths and the angle between them,1,GCSE Higher
468,Advanced formulae for area involving side lengths only,,
469,Bearings problems involving non-right-angled trigonometry,1,GCSE Higher
470,3D shape problems involving non-right-angled trigonometry,1,GCSE Higher
471,"Proving triangle congruence using SSS, SAS, ASA and RHS",5,"GCSE Foundation, GCSE Higher"
472,Converting a vector between component form and magnitude and direction form,1,GCSE Higher
473,Vectors using variables,2,"GCSE Foundation, GCSE Higher"
